booking_id,property_id,booking_date,Month Name,Day Name,weekday,no_guests,room_category,booking_platform,ratings_given,booking_status,Booking status,revenue_generated,revenue_realized,Revenue_lost,Week of Year,No of Days,dim_rooms,property_name,category,city,successful_bookings,capacity,Unsuccessful_bookings
May012216558RT11,16558,27-04-2022,April,Wednesday,weeke day,3,RT1,direct online,1,Checked Out,1,10010,10010,0,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT12,16558,30-04-2022,April,Saturday,weekend day,2,RT1,others,null,Cancelled,0,9100,3640,5460,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT13,16558,28-04-2022,April,Thursday,weeke day,2,RT1,logtrip,5,Checked Out,1,9100,9100,0,18,3,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT14,16558,28-04-2022,April,Thursday,weeke day,2,RT1,others,null,Cancelled,0,9100,3640,5460,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT15,16558,27-04-2022,April,Wednesday,weeke day,4,RT1,direct online,5,Checked Out,1,10920,10920,0,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT16,16558,1/5/2022,May,Sunday,weekend day,2,RT1,others,4,Checked Out,1,9100,9100,0,19,2,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT17,16558,28-04-2022,April,Thursday,weeke day,2,RT1,others,null,Cancelled,0,9100,3640,5460,18,5,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT18,16558,26-04-2022,April,Tuesday,weeke day,2,RT1,logtrip,null,No Show,0,9100,9100,0,18,2,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT19,16558,30-04-2022,April,Saturday,weekend day,2,RT1,tripster,null,Checked Out,1,9100,9100,0,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT110,16558,28-04-2022,April,Thursday,weeke day,1,RT1,others,4,Checked Out,1,9100,9100,0,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT111,16558,29-04-2022,April,Friday,weeke day,1,RT1,makeyourtrip,5,Checked Out,1,9100,9100,0,18,6,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT112,16558,26-04-2022,April,Tuesday,weeke day,2,RT1,logtrip,5,Checked Out,1,9100,9100,0,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT113,16558,26-04-2022,April,Tuesday,weeke day,2,RT1,makeyourtrip,5,Checked Out,1,9100,9100,0,18,6,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT114,16558,30-04-2022,April,Saturday,weekend day,1,RT1,logtrip,null,Cancelled,0,9100,3640,5460,18,4,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT115,16558,29-04-2022,April,Friday,weeke day,2,RT1,others,null,Checked Out,1,9100,9100,0,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT116,16558,27-04-2022,April,Wednesday,weeke day,4,RT1,journey,null,Checked Out,1,10920,10920,0,18,2,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT117,16558,29-04-2022,April,Friday,weeke day,3,RT1,direct offline,null,Checked Out,1,10010,10010,0,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216558RT118,16558,27-04-2022,April,Wednesday,weeke day,2,RT1,others,null,Checked Out,1,9100,9100,0,18,1,Standard,Atliq Grands,Luxury,Delhi,18,19,1
May012216559RT11,16559,28-04-2022,April,Thursday,weeke day,2,RT1,journey,3,Checked Out,1,11050,11050,0,18,2,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT12,16559,29-04-2022,April,Friday,weeke day,2,RT1,makeyourtrip,5,Checked Out,1,11050,11050,0,18,5,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT13,16559,27-04-2022,April,Wednesday,weeke day,1,RT1,tripster,null,Cancelled,0,11050,4420,6630,18,1,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT14,16559,29-04-2022,April,Friday,weeke day,3,RT1,direct offline,5,Checked Out,1,12155,12155,0,18,2,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT15,16559,29-04-2022,April,Friday,weeke day,3,RT1,others,5,Checked Out,1,12155,12155,0,18,1,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
May012216559RT16,16559,11/4/2022,April,Monday,weeke day,2,RT1,tripster,null,Checked Out,1,11050,11050,0,16,1,Standard,Atliq Exotica,Luxury,Mumbai,25,30,5
